Time (s),1. Target Id A (0.0625),,Time (s),1. Id A (0.0625),,Time (s),1. Max velocity - left motor RPM (1),,Time (s),1. Battery Current A (0.0625),,Time (s),1. Maximum fluxing current A (1),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),1. Voltage limit circle magnitude A (1),,Time (s),1. Measured inductance uH (5.96046447753906E-02),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),1. Uq V (0.0625),,Time (s),1. Voltage modulation % (0.390625),,Time (s),1. Capacitor Voltage V (0.0625),,Time (s),1. Maximum iq allowed A (1),,Time (s),1. Motor Temperature 1 (Measured - T1) DegC (1),,Time (s),1. Target Iq A (0.0625),,Time (s),1. Ud V (0.0625),,Time (s),1. Iq A (0.0625),,
2.1979,0.0,,2.1979,1.6875,,2.1984,0,,2.1983,0.0,,2.1982000000000004,507,,2.1984,0,,2.1983,0.0,,2.1982000000000004,32212,,2.1982000000000004,32.961368560791,,2.1983,0.0,,2.198,0.0,,2.198,0.0,,2.198,44.375,,2.1982000000000004,449,,2.1983,45,,2.1979,0.0,,2.198,0.0,,2.1979,1.0,,
2.2179,0.0,,2.2179,-0.875,,2.2184,0,,2.2183,0.0,,2.2180999999999997,507,,2.2184,-4,,2.2183,0.0,,2.2180999999999997,32212,,2.2180999999999997,32.961368560791,,2.2183,0.0,,2.218,0.0,,2.218,0.0,,2.218,44.3125,,2.2180999999999997,449,,2.2183,45,,2.2179,0.0,,2.218,0.0,,2.2179,-0.9375,,
2.2393,0.0,,2.2393,0.25,,2.2398000000000002,0,,2.2397000000000005,0.0,,2.2396,507,,2.2398000000000002,0,,2.2397000000000005,0.0,,2.2396,32212,,2.2396,32.961368560791,,2.2397000000000005,0.0,,2.2395,0.0,,2.2395,0.0,,2.2395,44.375,,2.2396,449,,2.2397000000000005,45,,2.2393,0.0,,2.2395,0.0,,2.2393,-0.5625,,
2.2579000000000002,0.0,,2.2579000000000002,-2.0,,2.2584,0,,2.2583,0.0,,2.2582000000000004,507,,2.2584,0,,2.2583,0.0,,2.2582000000000004,32212,,2.2582000000000004,32.961368560791,,2.2583,0.0,,2.2580999999999998,0.0,,2.2580999999999998,0.0,,2.2580999999999998,44.3125,,2.2582000000000004,449,,2.2583,45,,2.2579000000000002,0.0,,2.2580999999999998,0.0,,2.2579000000000002,-1.3125,,
2.2793,0.0,,2.2793,-0.0625,,2.2798000000000003,0,,2.2796,0.0,,2.2795,507,,2.2798000000000003,0,,2.2796,0.0,,2.2795,32212,,2.2795,32.961368560791,,2.2796,0.0,,2.2795,0.0,,2.2795,0.0,,2.2795,44.3125,,2.2795,449,,2.2796,45,,2.2793,0.0,,2.2795,0.0,,2.2793,0.4375,,
2.2978,0.0,,2.2978,-0.3125,,2.2984,0,,2.2983000000000002,0.0,,2.2981,507,,2.2984,0,,2.2983000000000002,0.0,,2.2981,32212,,2.2981,32.961368560791,,2.2983000000000002,0.0,,2.298,0.0,,2.298,0.0,,2.298,44.3125,,2.2981,449,,2.2983000000000002,45,,2.2978,0.0,,2.298,0.0,,2.2978,-0.75,,
2.3193,0.0,,2.3193,-0.875,,2.3198000000000003,0,,2.3196,0.0,,2.3195,507,,2.3198000000000003,0,,2.3196,0.0,,2.3195,32212,,2.3195,32.961368560791,,2.3196,0.0,,2.3194,0.0,,2.3194,0.0,,2.3194,44.3125,,2.3195,449,,2.3196,45,,2.3193,0.0,,2.3194,0.0,,2.3193,-0.9375,,
2.3393,0.0,,2.3393,-1.0625,,2.3398000000000003,0,,2.3397,0.0,,2.3395,507,,2.3398000000000003,0,,2.3397,0.0,,2.3395,32212,,2.3395,32.961368560791,,2.3397,0.0,,2.3394,0.0,,2.3394,0.0,,2.3394,44.3125,,2.3395,449,,2.3397,45,,2.3393,0.0,,2.3394,0.0,,2.3393,-2.1875,,
2.3579,0.0,,2.3579,-0.0625,,2.3584,0,,2.3582,0.0,,2.3581,507,,2.3584,0,,2.3582,0.0,,2.3581,32212,,2.3581,32.961368560791,,2.3582,0.0,,2.358,0.0,,2.358,0.0,,2.358,44.3125,,2.3581,449,,2.3582,45,,2.3579,0.0,,2.358,0.0,,2.3579,0.4375,,
2.3778,0.0,,2.3778,0.25,,2.3784,0,,2.3783000000000003,0.0,,2.3781,507,,2.3784,1,,2.3783000000000003,0.0,,2.3781,32212,,2.3781,32.961368560791,,2.3783000000000003,0.0,,2.378,0.0,,2.378,0.0,,2.378,44.3125,,2.3781,449,,2.3783000000000003,45,,2.3778,0.0,,2.378,0.0,,2.3778,-0.5625,,
